,Problema,EU1,EU2,EU3,EU4,ED1,ED2,ED3,IdValutatori,Id Euristiche Violate,Mean,Standard Deviation,Median
"PB01","La funzione cestino si trova in una posizione non ottimale ",2,3,2,1,2,2,2,EU4,"E2, E6, E9",2,0.5345,2
"PB02","Ambigua differenza tra la funzione 'Goodnotes 6' e la funzione 'store'. Potrebbero essere accorpate in un'unica funzione ",1,1,1,3,3,1,1,EU1-EU3-EU4,"E4, E8",1.5714,0.9035,1
"PB03","Ambiguità nel processo di creazione di un documento. La funzione crea taccuino ha un nome ambiguo ",3,2,2,2,4,2,0,EU2-EU3,"E4, E5",2.1428,1.1248,2
"PB04",L'icona della funzione “seleziona” (affianco ad” impostazioni”) non è rappresentativa.,3,1,1,1,3,3,3,EU3,E2,2.1428,0.9897,3
"PB05",L'icona che rappresenta la funzione lente non viene individuata facilmente.,3,4,3,2,2,3,2,ED2-EU1-EU2-EU3-EU4,"E3, E6",2.7142,0.6998,3
"PB06",L'icona “v” a fianco del nome del documento non è significativa. Non è rappresentativa della funzione che svolge.,0,2,1,2,1,1,2,EU3,"E2, E5",1.2857,0.6999,1
"PB07",L'icona “Segnalibro” in alto a destra in ogni documento non è rappresentativa della funzione che svolge.,1,2,0,3,0,1,0,EU4,E1,1,1.069,1
"PB08",Nelle impostazioni esistono due voci “Backup dei dati” e “Backup automatico” che potrebbero essere raggruppate in un'unica voce.,1,1,2,3,2,1,1,EU3-EU4,"E4, E6, E8",1.5714,0.7284,1
"PB09","Non è chiaro come utilizzare lo strumento “Lazo”. In particolare nelle situazioni di copia e incolla. ",2,3,1,0,3,2,3,EU1-EU2,"E1, E6",2,1.069,2
"PB10","Alla creazione di una nuova cartella, se si sta utilizzando la penna per tablet la tastiera non appare automaticamente ma va aperta cliccando un bottone a parte",3,3,3,1,1,3,0,ED2-EU2,"E1, E2, E5, E6",2,1.1952,3
"PB11",La barra degli strumenti presenta un numero eccessivo di funzioni che possono talvolta disorientare. Le funzioni posso essere raggruppate in maniera migliore,3,3,3,2,2,2,2,EU4,"E6, E8",2.4286,0.4949,2
"PB12",Il bottone della funzione “sticker” non è rappresentativo,1,1,2,1,1,1,0,EU3-EU4,"E2, E5, E6",1,0.5345,1
"PB13",Non è chiaro cosa faccia il bottone con l'icona della tastiera,1,2,0,0,1,1,1,EU2,E6,0.8571,0.6389,1
"PB14",La funzione “Tastiera” permette di scrivere un testo sul documento. Non è possibile cambiare il font e la grandezza del suddetto testo.,2,2,3,3,3,2,2,EU4,"E3, E6, E7",2.4286,0.4949,2
"PB15","La funzione “Zoom” ingrandisce una zona del documento permettendo di scrivere in maniera più precisa. L'icona che identifica tale funzione non è rappresentativa. ",1,2,2,2,2,3,3,EU2,"E2, E5, E6",2.1429,0.6389,2
"PB16",Le funzioni “tastiera” e “casella di testo” potrebbero essere accorpate in un unico bottone invece che due separati.,1,1,1,3,2,2,0,EU3-EU4,"E7, E8",1.4286,0.9035,1
"PB17",Non è ben chiaro come fare per modificare il tratto della penna.,1,2,2,1,3,1,1,ED1,"E5, E6, E7",1.5714,0.7284,1
"PB18","Quando si utilizza lo strumento “Lazo” è possibile salvare l'elemento selezionato nella propria raccolta di sticker, ma la voce che permette di svolgere tale funzione (”Aggiungi elemento”) non è significativa di ciò.",4,1,4,4,3,2,0,ED1-ED2,"E1, E6",2.5713,1.4983,3
"PB19",E' possibile modificare la pressione della penna ma non apporta nessuna modifica alla stessa,3,2,0,2,4,2,0,ED1,E3,1.8571,1.3553,2
"PB32",Non è possibile ridimensionare gli elementi “pizzicando” con le dita; bisogna usare i pulsanti appositi.,0,0,0,1,2,3,1,ED3,E5,1,1.069,1
"PB33",Gli indici delle pagine sono poco intuitivi; non si capisce come utilizzarli.,1,0,0,1,1,2,1,ED2-ED3,"E1, E7",0.8571,0.6389,1
