document_id,annotator_id,annotation
1,A,1.0
1,B,1.0
1,C,1.0
2,A,2.0
2,B,2.0
2,C,2.0
3,A,1.0
3,B,1.0
3,C,1.0
4,A,1.0
4,B,1.0
4,C,1.0
5,A,1.0
5,B,2.0
5,C,2.0
6,A,2.0
6,B,2.0
6,C,2.0
7,A,1.0
7,B,1.0
7,C,1.0
8,A,2.0
8,B,2.0
8,C,2.0
9,A,1.0
9,B,2.0
9,C,1.0
10,A,1.0
10,B,1.0
10,C,1.0
11,A,1.0
11,B,1.0
11,C,2.0
12,A,1.0
12,B,2.0
12,C,2.0
13,A,2.0
13,B,2.0
13,C,1.0
14,A,2.0
14,B,2.0
14,C,1.0
15,A,2.0
15,B,2.0
15,C,2.0
16,A,1.0
16,B,1.0
16,C,1.0
17,A,2.0
17,B,2.0
17,C,2.0
18,A,2.0
18,B,2.0
18,C,2.0
19,A,1.0
19,B,1.0
19,C,2.0
20,A,2.0
20,B,2.0
20,C,2.0
21,A,1.0
21,B,1.0
21,C,2.0
22,A,2.0
22,B,3.0
22,C,3.0
23,A,3.0
23,B,3.0
23,C,3.0
24,A,2.0
24,B,2.0
24,C,2.0
25,A,2.0
25,B,2.0
25,C,2.0
26,A,2.0
26,B,2.0
26,C,2.0
27,A,3.0
27,B,2.0
27,C,2.0
28,A,2.0
28,B,2.0
28,C,2.0
29,A,2.0
29,B,3.0
29,C,2.0
30,A,3.0
30,B,3.0
30,C,3.0
31,A,2.0
31,B,2.0
31,C,2.0
32,A,1.0
32,B,1.0
32,C,1.0
33,A,1.0
33,B,1.0
33,C,1.0
34,A,2.0
34,B,2.0
34,C,2.0
35,A,1.0
35,B,1.0
35,C,1.0
36,A,1.0
36,B,2.0
36,C,1.0
37,A,2.0
37,B,2.0
37,C,1.0
38,A,2.0
38,B,2.0
38,C,3.0
39,A,1.0
39,B,1.0
39,C,2.0
40,A,3.0
40,B,3.0
40,C,2.0
41,A,1.0
41,B,1.0
41,C,1.0
42,A,2.0
42,B,1.0
42,C,2.0
43,A,2.0
43,B,2.0
43,C,2.0
43,A,2.0
43,B,2.0
43,C,2.0
44,A,1.0
44,B,1.0
44,C,1.0
45,A,2.0
45,B,2.0
45,C,1.0
46,A,2.0
46,B,2.0
46,C,2.0
47,A,1.0
47,B,1.0
47,C,1.0
48,A,1.0
48,B,1.0
48,C,1.0
49,A,2.0
49,B,1.0
49,C,1.0
50,A,1.0
50,B,1.0
50,C,2.0
51,A,1.0
51,B,2.0
51,C,2.0
52,A,1.0
52,B,1.0
52,C,2.0
53,A,3.0
53,B,3.0
53,C,2.0
54,A,1.0
54,B,1.0
54,C,1.0
55,A,1.0
55,B,1.0
55,C,2.0
56,A,1.0
56,B,1.0
56,C,1.0
57,A,1.0
57,B,2.0
57,C,1.0
58,A,2.0
58,B,2.0
58,C,2.0
59,A,2.0
59,B,2.0
59,C,2.0
60,A,1.0
60,B,1.0
60,C,2.0
61,A,2.0
61,B,2.0
61,C,2.0
62,A,1.0
62,B,2.0
62,C,2.0
63,A,1.0
63,B,1.0
63,C,1.0
64,A,1.0
64,B,1.0
64,C,2.0
65,A,1.0
65,B,1.0
65,C,2.0
66,A,1.0
66,B,1.0
66,C,2.0
67,A,1.0
67,B,1.0
67,C,1.0
68,A,1.0
68,B,1.0
68,C,1.0
69,A,1.0
69,B,1.0
69,C,2.0
70,A,3.0
70,B,2.0
70,C,3.0
71,A,1.0
71,B,1.0
71,C,1.0
72,A,1.0
72,B,1.0
72,C,1.0
73,A,1.0
73,B,1.0
73,C,1.0
74,A,2.0
74,B,1.0
74,C,1.0
75,A,1.0
75,B,1.0
75,C,1.0
76,A,2.0
76,B,2.0
76,C,2.0
77,A,1.0
77,B,1.0
77,C,2.0
78,A,2.0
78,B,2.0
78,C,1.0
79,A,2.0
79,B,2.0
79,C,2.0
80,A,1.0
80,B,1.0
80,C,1.0
81,A,1.0
81,B,1.0
81,C,1.0
82,A,1.0
82,B,1.0
82,C,1.0
83,A,1.0
83,B,1.0
83,C,1.0
84,A,1.0
84,B,1.0
84,C,1.0
85,A,1.0
85,B,1.0
85,C,2.0
86,A,3.0
86,B,3.0
86,C,3.0
87,A,1.0
87,B,2.0
87,C,2.0
88,A,1.0
88,B,1.0
88,C,2.0
89,A,1.0
89,B,1.0
89,C,1.0
90,A,1.0
90,B,1.0
90,C,2.0
91,A,1.0
91,B,1.0
91,C,1.0
92,A,2.0
92,B,2.0
92,C,1.0
93,A,1.0
93,B,1.0
93,C,1.0
94,A,1.0
94,B,1.0
94,C,2.0
95,A,1.0
95,B,2.0
95,C,2.0
96,A,1.0
96,B,1.0
96,C,1.0
97,A,1.0
97,B,1.0
97,C,1.0
98,A,1.0
98,B,2.0
98,C,2.0
99,A,1.0
99,B,1.0
99,C,1.0
100,A,1.0
100,B,2.0
100,C,1.0
101,A,1.0
101,B,1.0
101,C,2.0
102,A,2.0
102,B,2.0
102,C,2.0
103,A,1.0
103,B,2.0
103,C,1.0
104,A,2.0
104,B,2.0
104,C,2.0
105,A,1.0
105,B,1.0
105,C,1.0
106,A,1.0
106,B,1.0
106,C,1.0
107,A,1.0
107,B,1.0
107,C,1.0
108,A,1.0
108,B,1.0
108,C,1.0
109,A,1.0
109,B,1.0
109,C,1.0
110,A,1.0
110,B,1.0
110,C,2.0
111,A,2.0
111,B,2.0
111,C,2.0
112,A,1.0
112,B,1.0
112,C,1.0
113,A,1.0
113,B,1.0
113,C,1.0
114,A,1.0
114,B,2.0
114,C,1.0
115,A,1.0
115,B,1.0
115,C,1.0
116,A,1.0
116,B,1.0
116,C,1.0
117,A,1.0
117,B,1.0
